period,m,l,theta,diameter,fluid density,gravity
s,kg,m,rad,m,kg/m3,m/s2
2.248,0.295,1.265,0.085953704,0.0399034,1.195056201,9.81
2.26,0.295,1.265,0.171423406,0.0399034,1.195056201,9.81
1.328,0.295,0.435,0.245519496,0.0399034,1.195056201,9.81
1.337,0.295,0.435,0.466402423,0.0399034,1.195056201,9.81
1.844,0.1475,0.84,0.129040859,0.0345948,1.195056201,9.81
1.84,0.1475,0.84,0.255037,0.0345948,1.195056201,9.81
0.912,0.1475,0.192,0.516337133,0.0345948,1.195056201,9.81
0.891,0.1475,0.192,0.278987417,0.0345948,1.195056201,9.81
1.093,0.1475,0.287,0.362964317,0.0345948,1.195056201,9.81
1.084,0.1475,0.287,0.189342043,0.0345948,1.195056201,9.81
1.121,0.1475,0.287,0.651811167,0.0345948,1.195056201,9.81
1.821,0.05,0.816,0.067300169,0.0184658,1.195056201,9.81
1.836,0.05,0.816,0.132792341,0.0184658,1.195056201,9.81
1.84,0.05,0.816,0.262203488,0.0184658,1.195056201,9.81
1.866,0.05,0.816,0.491673135,0.0184658,1.195056201,9.81
1.197,0.05,0.354,0.154134896,0.0184658,1.195056201,9.81
1.198,0.05,0.354,0.298697423,0.0184658,1.195056201,9.81
1.234,0.05,0.354,0.554015696,0.0184658,1.195056201,9.81
1.255,0.05,0.354,0.655149327,0.0184658,1.195056201,9.81
0.823,0.05,0.158,0.334982296,0.0184658,1.195056201,9.81
0.828,0.05,0.158,0.603897219,0.0184658,1.195056201,9.81
0.558,0.05,0.085,0.307567108,0.0184658,1.195056201,9.81
1.434,0.02,0.502,0.109126499,0.01397,1.195056201,9.81
1.446,0.02,0.502,0.411364964,0.01397,1.195056201,9.81
1.528,0.02,0.502,0.716285835,0.01397,1.195056201,9.81
1.605,0.02,0.502,0.785398163,0.01397,1.195056201,9.81
0.924,0.02,0.202,0.494826586,0.01397,1.195056201,9.81
0.667,0.02,0.11,0.244978663,0.01397,1.195056201,9.81
0.671,0.02,0.11,0.244978663,0.01397,1.195056201,9.81
2.053,0.005,1.025,0.105943307,0.0085344,1.195056201,9.81
2.044,0.005,1.025,0.210493613,0.0085344,1.195056201,9.81
2.059,0.005,1.025,0.40300633,0.0085344,1.195056201,9.81
0.668,0.005,0.106,0.253837789,0.0085344,1.195056201,9.81
0.678,0.005,0.106,0.253837789,0.0085344,1.195056201,9.81
0.4265,0.005,0.042,0.785398163,0.0085344,1.195056201,9.81
0.4335,0.005,0.042,0.785398163,0.0085344,1.195056201,9.81
2.044,0.001,1.037,0.104726344,0.0050038,1.195056201,9.81
2.049,0.001,1.037,0.208127938,0.0050038,1.195056201,9.81
2.066,0.001,1.037,0.568847858,0.0050038,1.195056201,9.81
0.4795,0.001,0.052,0.785398163,0.0050038,1.195056201,9.81
